"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100";;;
2;"J5";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"4/ADo/1";;;
3;"Q5";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"TIP50";;;
4;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N4007";;;
5;"J1";"PinSocket_2x20_P2.54mm_Horizontal";1;"Raspberry_Pi_ZeroW";;;
6;"RV1";"Potentiometer_Bourns_3296W_Vertical";1;"20";;;
7;"Q4,Q3,Q2,Q1";"TO-92_Inline_Wide";4;"BC337";;;
8;"K1";"Relay_DPDT_Omron_G5V-2";1;"Axicom D2n";;;
9;"U1";"DIP-4_W7.62mm";1;"LTV-817";;;
10;"J3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"GND/+90V";;;
11;"J2";"Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
12;"C1";"C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT";1;"100n";;;
13;"J4";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"+5V  GND";;;
14;"R8,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";2;"68";;;
15;"R7,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";2;"330";;;
16;"R11,R3,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";3;"1k";;;
17;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"510";;;
18;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";1;"470";;;
