"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"T1";"Transformer_CHK_EI42-5VA_2xSec_6pin";1;"GERTH 421.48.2";;;
2;"F1";"Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal";1;"100mAT";;;
3;"J3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"+5V";;;
4;"J2";"PinHeader_1x01_P2.54mm_Vertical";1;"RP";;;
5;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"180k";;;
6;"D2";"Diode_Bridge_DIP-4_W7.62mm_P5.08mm";1;"DF08M";;;
7;"Q1";"TO-92_Inline_Wide";1;"BC337";;;
8;"J4";"TerminalBlock_RND_205-00067_1x02_P7.50mm_Horizontal";1;"230V~ OUT";;;
9;"J5";"PinHeader_1x01_P2.54mm_Vertical";1;"+90V";;;
10;"J1";"TerminalBlock_RND_205-00067_1x02_P7.50mm_Horizontal";1;"230V~ IN";;;
11;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
12;"K1";"Relay_DPDT_Finder_40.52";1;"FINDER-40.52";;;
13;"PS1";"Converter_ACDC_MeanWell_IRM-10-xx_THT";1;"IRM-10-5";;;
14;"C1";"CP_Radial_D22.0mm_P10.00mm_SnapIn";1;"330µF/200V";;;
15;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"1N4007";;;
